smiles,best_name,monomer_type,has_fluorine,n_f_atoms,has_cf3,n_aldehyde,n_amine,n_papers,source,commercial_id,cas,formula,is_aldehyde,is_amine,is_2d,audit_flag
Nc1c(F)cc(-c2c(F)c(F)cc(F)c2F)c(F)c1F,"1,3,5-tris(2,3,5,6-tetrafluoroanilino)benzene",amine,True,7,False,0,1,1,llm,,,,False,True,False,fixed
Nc1ccc(O)cc1N,"2,5-diamino-1,4-benzenediol",amine,False,0,False,0,2,2,llm,,,,False,True,True,
CCCOc1ccc(C(=O)NN)c(-c2ccccc2C(=O)NN)c1-c1ccccc1,"5′-(4-(hydrazinecarbonyl)-3-propoxyphenyl)-3,3′′-di(propoxy)-[1,1′:3′,1′′-terphenyl]-4,4′′-dicarboxyhydrazide",other,False,0,False,0,0,1,llm,,,,False,False,False,fixed
Nc1c(F)c(F)cc(F)c1F,"1,3,5-tris(2,3,5,6-tetrafluoroanilino)benzene",amine,True,4,False,0,1,2,llm,,,,False,True,False,fixed
O=CC1=CC(=O)C(O)=C(O)C1=O,"1,3,5-triformylphloroglucinol",aldehyde,False,0,False,1,0,1,llm,,,,True,False,False,fixed
Oc1cc(O)cc(O)c1,phloroglucinol,other,False,0,False,0,0,5,llm,,,,False,False,False,review
CCCCCCNC(=O)Nc1c(C=O)cc(C=O)cc1C=O,"N,N',N''-trihexyl-1,3,5-benzenetricarboxamide-tri-carbaldehyde",aldehyde,False,0,False,3,0,1,llm,,,,True,False,True,
Cc1ccc(-c2cc(C)ccc2C)cc1,"1,3,5-tris(4-methylphenyl)benzene derivative",other,False,0,False,0,0,1,llm,,,,False,False,False,review
NN,hydrazine hydrate,amine,False,0,False,0,0,14,llm,,,,False,False,True,fixed
Cc1cc(N)c(N)cc1C,"2,5-dimethyl-1,4-phenylenediamine",amine,False,0,False,0,2,2,llm,,,,False,True,True,
O=Cc1c(F)c(C=O)c(F)c(C=O)c1F,"2,4,6-trifluoro-1,3,5-benzenetricarbaldehyde",aldehyde,True,3,False,3,0,1,llm,,,,True,False,True,
COc1cc(C=O)ccc1C=O,"2,5-dimethoxyterephthalaldehyde",aldehyde,False,0,False,2,0,14,llm,,,,True,False,True,
O=Cc1ccc(O)cc1C=O,"2,5-dihydroxy-1,4-benzenedicarboxaldehyde",aldehyde,False,0,False,2,0,8,llm,,,,True,False,True,
COc1cc(C=O)c(C=O)c(OC)c1,"2,5-dimethoxyterephthalaldehyde",aldehyde,False,0,False,2,0,2,llm,,,,True,False,True,
Nc1ccc(-c2nc(Nc3ccccc3)nc(-c3ccc(N)cc3)n2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)trianiline",amine,False,0,False,0,4,2,llm,,,,False,True,True,fixed
O=Cc1c(F)c(F)c(F)c(F)c1C=O,"2,3,5,6-四氟对苯二甲醛",aldehyde,True,4,False,2,0,1,llm,,,,True,False,True,
Nc1ccc(Nc2ccc(-c3ccc(Nc4ccc(-c5ccc(Nc6ccc(-c7ccc8c(ccc9c%10ccccc%10ccc89)c7)cc6)cc5)cc4)cc3)cc2)cc1,"4,4',4'',4'''(Pyrene-1,3,6,8-tetrayl)tetaniline",amine,False,0,False,0,7,1,llm,,,,False,True,False,fixed
O=Cc1ccc(C2=CC=[N+]C(c3ccc(C=O)cc3)=C2)cc1,"1,1'-Bis(4-formylphenyl)-4,4'-bipyridinium dichloride",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
N=C(N)NN,triaminoguanidinium chloride,amine,False,0,False,0,1,2,llm,,,,False,True,True,fixed
O=Cc1cc(C=O)cc(C=O)c1,"Benzene-1,3,5-tricarbaldehyde (Trimesaldehyde)",aldehyde,False,0,False,3,0,44,llm,,,,True,False,True,
Nc1ccc(-c2ccccc3ncnc2-3)cc1,"1,3,5-tris(4-aminophenyl)triazine",amine,False,0,False,0,1,1,llm,,,,False,True,False,fixed
Nc1nc(N)nc(N)n1,"1,3,5-triazine-2,4,6-triamine (TAPT)",amine,False,0,False,0,3,12,llm,,,,False,True,True,
O=Cc1ccc(-c2ccc(C=O)cc2)cc1,"[1,1′-biphenyl]-4,4′-dicarbaldehyde",aldehyde,False,0,False,2,0,13,llm,,,,True,False,True,
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1,"4,4',4''-nitrilotrisbenzaldehyde",aldehyde,False,0,False,3,0,16,llm,,,,True,False,True,
O=CC1=C(F)C(C(F)=C(F)F)=C(F)C1=O,"2,3,5,6-tetrafluoroterephthalaldehyde",aldehyde,True,5,False,1,0,1,llm,,,,True,False,False,fixed
OB(O)c1ccc(B(O)O)cc1,"1,4-phenylenediboronic acid",other,False,0,False,0,0,16,llm,,,,False,False,False,review
CC1(C)OB(c2ccc(C=O)cc2)OC1(C)C,"4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)benzaldehyde",aldehyde,False,0,False,1,0,2,llm,,,,True,False,False,fixed
CC1(C)OB(c2ccc(N)cc2)OC1(C)C,"4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)aniline",amine,False,0,False,0,1,2,llm,,,,False,True,False,fixed
c1ccc2nonc2c1,"2,1,3-benzothiadiazole",other,False,0,False,0,0,1,llm,,,,False,False,False,review
Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,"N,N,N-tris(4-aminophenyl)aniline",amine,False,0,False,0,3,26,llm,,,,False,True,True,
C=Cc1ccc(C=O)c(C=O)c1,"2,5-divinylterephthalaldehyde",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
COc1ccccc1N,o-dimethoxyaniline,amine,False,0,False,0,1,1,llm,,,,False,True,False,fixed
O=Cc1ccc(C(=O)c2ccc(-c3nc(C=O)nc(C=O)n3)cc2)cc1,"2,4,6-tris(4-formylphenyl)-1,3,5-triazine",aldehyde,False,0,False,3,0,1,llm,,,,True,False,True,
Oc1ccc(O)c(O)c1,"1,3,5-trihydroxybenzene",other,False,0,False,0,0,1,llm,,,,False,False,False,review
N=C(N)N,guanidine hydrochloride,amine,False,0,False,0,2,1,llm,,,,False,True,True,
O=Cc1ccc(C[n+]2cccc(C[n+]3cccc(-c4ccc(C=O)cc4)c3)c2)cc1.[Cl-].[Cl-],"1,1-bis(4-formylphenyl)-4,4'-bipyridinium dichloride",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
COc1ccc(C=O)c(C=O)c1,"2,5-dimethoxyterephthalaldehyde",aldehyde,False,0,False,2,0,3,llm,,,,True,False,True,
OBc1ccc(C#CC#Cc2ccc(BO)cc2)cc1,"4,4'-diphenylbutadiynebis(boronic acid)",other,False,0,False,0,0,1,llm,,,,False,False,False,review
CC[N+]1=C(c2ccc(N)cc2)N=c2ccccc2=c2ccc(N)cc2=C1c1ccccc1.[Br-],"ethidium bromide (3,8-diamino-5-ethyl-6-phenylphenanthridinium bromide)",amine,False,0,False,0,2,1,llm,,,,False,True,True,
Nc1ccc(S(=O)(=O)O)cc1N,"2,5-diaminobenzenesulfonic acid",amine,False,0,False,0,2,7,llm,,,,False,True,True,
Nc1ccc(C(c2ccc(N)cc2)(c2ccc(N)cc2)c2ccc(N)cc2)cc1,"4,4′,4″,4‴-methanetetrayltetraaniline",amine,False,0,False,0,4,19,llm,,,,False,True,True,
O=Cc1cc2nsnc2cc1C=O,"4,7-diformylbenzothiadiazole",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
O=Cc1ccc(N=Nc2ccc(C=O)cc2)cc1,"4,4'-azobenzenedicarboxaldehyde",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
Nc1c2cccc3cc(c(c1N)C=CC1=C4C5=CC6=CC=C2C=C5C6=CC=C14)C=C3,"4,4′,4″,4‴-(pyrene-1,3,6,8-tetrayl)tetraaniline",amine,False,0,False,0,2,1,llm,,,,False,True,True,
O=Cc1ccc(-c2ccc(C=O)cn2)nc1,"2,2′-bipyridyl-5,5′-dicarboxaldehyde",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
O=Cc1ccc(C(=O)c2ccc(C3=C4C(=C(c5ccc(C=O)cc5)c5c4ccc4ccccc54)C=C3)cc2)cc1,"1,3,6,8-tetrakis(4-formylphenyl)pyrene",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)tribenzaldehyde",aldehyde,False,0,False,3,0,21,llm,,,,True,False,True,
O=CC1=CCC=NC1C=O,"2,6-pyridinedicarboxaldehyde",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
NNC(=O)OCCOCCO,PEO-hydrazide monomer (x=3),amine,False,0,False,0,0,1,llm,,,,False,False,False,fixed
OB1C=CC=C(B(O)O)C=C1,"1,4-benzenediboronic acid",other,False,0,False,0,0,1,llm,,,,False,False,False,review
O=Cc1ccc(-c2ccc(-c3ccc(C=O)cc3)cc2)cc1,"4,4''-p-terphenyldicarbaldehyde NHC-Au complex",aldehyde,False,0,False,2,0,7,llm,,,,True,False,True,
O=Cc1ccc(C(=O)c2nc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2C=O)cc1,"2,4,6-tris(4-formylphenyl)-1,3,5-triazine",aldehyde,False,0,False,4,0,1,llm,,,,True,False,True,
N#CC(=Cc1ccccc1)c1ccccc1,"2,3-diphenylacrylonitrile",other,False,0,False,0,0,1,llm,,,,False,False,False,review
C(=Nc1ccccc1)c1ccccc1,"N,N'-p-phenylenedimethylene dibenzenamine",other,False,0,False,0,0,2,llm,,,,False,False,False,review
Cc1cc(C=O)ccc1C=O,"2,5-dimethylterephthalaldehyde",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
O=Cc1cc(O)c(C=O)c(C=O)c1O,"1,3,5-triformylphloroglucinol",aldehyde,False,0,False,3,0,1,llm,,,,True,False,True,
Nc1ccc(S(=O)(=O)O)c(N)c1,"2,5-diaminobenzenesulfonic acid",amine,False,0,False,0,2,1,llm,,,,False,True,True,
O=Cc1cccc(C=O)c1,"1,3-Benzenedicarbaldehyde",aldehyde,False,0,False,2,0,3,llm,,,,True,False,True,
COc1ccc(C=O)cc1OC,"2,5-dimethoxyterephthaldehyde",aldehyde,False,0,False,1,0,2,llm,,,,True,False,False,fixed
CCOc1ccc(C=O)cc1OCC,"2,5-diethoxyterephthaldehyde",aldehyde,False,0,False,1,0,1,llm,,,,True,False,False,fixed
O=Cc1c(O)c(O)c(C=O)c(C=O)c1O,"2,4,6-trihydroxybenzene-1,3,5-tricarbaldehyde",aldehyde,False,0,False,3,0,2,llm,,,,True,False,True,
Brc1cccc2c1C1=C2c2c(Br)ccc1c2Br,"1,3,6,8-tetrabromopyrene",aldehyde,False,0,False,0,0,1,llm,,,,False,False,False,review
O=Cc1cc(O)c(C=O)c(C=O)c1,"2,4,6-trihydroxybenzene-1,3,5-tricarbaldehyde",aldehyde,False,0,False,3,0,8,llm,,,,True,False,True,
Nc1ccc2cc3cc(N)ccc3cc2c1,"anthracene-2,6-diamine",amine,False,0,False,0,2,1,llm,,,,False,True,True,
OB(O)c1ccccc1,"1,4-phenylenebis(boronic acid) (PBBA)",other,False,0,False,0,0,7,llm,,,,False,False,False,review
Nc1ccc(-c2nccc(N)n2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)trianiline",amine,False,0,False,0,2,1,llm,,,,False,True,True,
O=Cc1cc(/N=N/c2ccc(-c3ccccn3)cc2)cnc1C=O,"(E)-4-(4-(phenyldiazenyl)phenyl)pyridine-2,6-dicarboxaldehyde",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
Nc1ccc(C#Cc2c3ccccc3cc3ccccc23)cc1,"9,10-bis(4-aminophenylethynyl)anthracene",amine,False,0,False,0,1,1,llm,,,,False,True,False,fixed
N=C(N)NC(=N)N,biguanide,amine,False,0,False,0,4,1,llm,,,,False,True,True,fixed
CN(C)NC(=N)NC(=N)N,metformin,amine,False,0,False,0,3,1,llm,,,,False,True,False,fixed
N=C1N=C(Nc2ccccn2)N=C1c1cccc(N)n1,"5,5',5''-(1,3,5-triazine-2,4,6-triyl)tri(pyridin-2-amine)",amine,False,0,False,0,3,1,llm,,,,False,True,False,fixed
Nc1ccc(-c2ccc(N)nc2)nc1,"5,5'-diamino-2,2'-bipyridine",amine,False,0,False,0,2,6,llm,,,,False,True,True,
O=Cc1ccc(-c2cc(F)c(C=O)c(F)c2F)cc1,"2',3',5',6'-tetrafluoro-[1,1':4',1''-terphenyl]-4,4''-dicarbaldehyde",aldehyde,True,3,False,2,0,1,llm,,,,True,False,True,
Nc1ccc(C2=Cc3cc(ccc3-c3ccc(N)cc3)N2c2ccccc2)cc1,"1,3,6,8-tetra(4-aminophenyl)pyrene",amine,False,0,False,0,2,1,llm,,,,False,True,True,
Nc1ccc(B(O)O)cc1,4-aminophenylboronic acid,aldehyde-amine,False,0,False,0,1,1,llm,,,,False,True,False,fixed
C#Cc1ccc(B(O)O)cc1,(4-ethynylphenyl)boronic acid,other,False,0,False,0,0,1,llm,,,,False,False,False,review
O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,"1,3,5-benzenetricarboxylic acid",other,False,0,False,0,0,1,llm,,,,False,False,False,review
C1CNCCNC1,piperazine,amine,False,0,False,0,4,1,llm,,,,False,True,False,fixed
Nc1ccc(S(=O)O)cc1,4-aminobenzenesulfonic acid,amine,False,0,False,0,1,1,llm,,,,False,True,False,fixed
Nc1cc(N)cc(N)c1,"1,3,5-benzenetriamine",amine,False,0,False,0,3,1,llm,,,,False,True,True,
Nc1ccc(-c2cncc(N)c2)nc1,"2,2'-bipyridine-5,5'-diamine",amine,False,0,False,0,2,1,llm,,,,False,True,True,
O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)cc(-c3ccc(C=O)cc3)c2)cc1,"1,3,5-tris(4-formylphenyl)benzene",aldehyde,False,0,False,3,0,21,llm,,,,True,False,True,
O=C(O)CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,diethylenetriaminepentaacetic acid,other,False,0,False,0,0,1,llm,,,,False,False,False,review
C=Cc1cc(C=O)ccc1C=CC=O,"2,5-divinylterephthalaldehyde",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
Oc1cccc(O)c1O,pyrogallol,other,False,0,False,0,0,1,llm,,,,False,False,False,review
Oc1ccccc1O,catechol,other,False,0,False,0,0,1,llm,,,,False,False,False,review
Nc1cccc(-c2cc(N)nc(N)n2)n1,"2,2'-bipyridine-5,5'-diamine",amine,False,0,False,0,3,1,llm,,,,False,True,True,
Oc1ccc2c(c1)cc(O)c1c3ccc(O)cc3ccc21,"2,3,6,7,10,11-hexahydroxytriphenylene",other,False,0,False,0,0,1,llm,,,,False,False,False,review
OB(O)c1ccc(-c2ccccc2)cc1,biphenyl-4-boronic acid,other,False,0,False,0,0,1,llm,,,,False,False,False,review
Cc1cc(C=O)c(C)c(C=O)c1C=O,"2,4,6-trimethyl-1,3,5-triformylbenzene",aldehyde,False,0,False,3,0,1,llm,,,,True,False,True,
Nc1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(N)cc3)n2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)trianiline",amine,False,0,False,0,2,1,llm,,,,False,True,True,
O=Cc1c(O)cc(O)c(C=O)c1,"2,5-dihydroxyterephthalaldehyde",aldehyde,False,0,False,2,0,13,llm,,,,True,False,True,
N#Cc1ccc(N)cc1,4-aminobenzyl cyanide,amine,False,0,False,0,1,3,llm,,,,False,True,False,fixed
C=Cc1ccc(C=O)cc1C=O,"2,5-divinylterephthalaldehyde",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
COc1cc(C(=O)NN)cc(C(=O)NN)c1,"2,5-dimethoxyterephthalohydrazide",other,False,0,False,0,0,1,llm,,,,False,False,False,fixed
Nc1ccc(Nc2ccc(-c3ncnc(-c4ccc(Nc5ccc(N)cc5)cc4)c3-c3ccc(Nc4ccc(N)cc4)cc3)cc2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)tris(N-phenyl-[1,1'-biphenyl]-4-amine)",amine,False,0,False,0,9,1,llm,,,,False,True,True,fixed
Cc1nc(C)nc(C)n1,"2,4,6-trimethyl-1,3,5-triazine",other,False,0,False,0,0,6,llm,,,,False,False,False,review
COc1ccc(Cc2cccc[n+]2C)c(Cc2ccccn2)c1,"1,1'-[(2,5-dimethoxy-1,4-phenylene)bis(methylene)]bis[pyridinium]",other,False,0,False,0,0,1,llm,,,,False,False,False,review
Bc1ccc(B(O)O)cc1,"1,4-phenylenediboronic acid",other,False,0,False,0,0,1,llm,,,,False,False,False,review
O=Cc1cc(O)c(C=O)c(O)c1C=O,"1,3,5-triformylphloroglucinol",aldehyde,False,0,False,3,0,1,llm,,,,True,False,True,
Nc1ccc2c(c1N)C(=O)c1ccccc1C2=O,"2,6-diaminoanthraquinone",amine,False,0,False,0,2,1,llm,,,,False,True,True,
Cc1ccc(N)cc1C,"2,5-dimethyl-1,4-phenylenediamine",amine,False,0,False,0,1,1,llm,,,,False,True,False,fixed
Oc1c(O)c(Cl)c(Cl)c(O)c1Cl,trichlorophloroglucinol,other,False,0,False,0,0,1,llm,,,,False,False,False,review
O=Cc1cc(O)cc(C=O)c1,"1,3,5-triformylphloroglucinol",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
Nc1ccc(S(=O)(=O)O)cc1,4-aminobenzenesulfonic acid,amine,False,0,False,0,1,1,llm,,,,False,True,False,fixed
Nc1ccc(Nc2ccc(-c3ccc(N)cc3)cc2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)trianiline",amine,False,0,False,0,4,2,llm,,,,False,True,True,fixed
O=Cc1ccc(-c2cc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1,"2,4,6-tris(4-formylphenyl)-1,3,5-triazine",aldehyde,False,0,False,3,0,3,llm,,,,True,False,True,
Nc1ccc(F)nc1F,"2,6-difluoro-1,4-pyridinediamine",amine,True,2,False,0,1,1,llm,,,,False,True,False,fixed
Nc1ccc(-c2ccc(N)c(-c3ccc(N)c(-c4ccccc4)c3)c2)cc1,"1,3,5-tri(4-aminophenyl)benzene",amine,False,0,False,0,3,1,llm,,,,False,True,True,
O=Cc1cc(O)cc(C=O)c1C=O,"2,4,6-trihydroxybenzene-1,3,5-tricarbaldehyde",aldehyde,False,0,False,3,0,3,llm,,,,True,False,True,
Nc1ccc(N)c(S(=O)(=O)O)c1,"2,5-diaminobenzenesulfonic acid",other,False,0,False,0,2,1,llm,,,,False,True,False,fixed
CC#COc1cc(C=O)c(OC#CC)c(C=O)c1,"2,5-bis(prop-2-yn-1-yloxy)terephthalaldehyde",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
COc1cc(C=O)c(OC)c(C=O)c1,"2,5-dimethoxybenzene-1,4-dicarboxaldehyde",aldehyde,False,0,False,2,0,2,llm,,,,True,False,True,
NN.O,hydrazine hydrate,amine,False,0,False,0,0,1,llm,,,,False,False,True,fixed
Nc1ccc(O)c(N)c1,"2,5-diamino-1-hydroxybenzene",amine,False,0,False,0,2,2,llm,,,,False,True,True,
O=Cc1ccc(-c2c(-c3ccccc3)cc(-c3ccccc3)c(-c3ccc(C=O)cc3)c2-c2ccc(C=O)cc2)cc1,"1,2,4,5-tetrakis(4-formylphenyl)benzene",aldehyde,False,0,False,3,0,1,llm,,,,True,False,True,
Nc1ccc(-c2ccccc2)cc1N,"biphenyl-4,4'-diamine",amine,False,0,False,0,2,1,llm,,,,False,True,True,
O=Cc1cc(O)cc(O)c1C=O,"1,3,5-triformylphloroglucinol",aldehyde,False,0,False,2,0,2,llm,,,,True,False,True,
O=Cc1ccc(C2=NC3=NC(c4ccc(C=O)cc4)=C(c4ccc(C=O)cc4)C3=N2)cc1,"1,3,5-tris(4-formylphenyl)triazine",aldehyde,False,0,False,3,0,1,llm,,,,True,False,True,
N#Cc1ccc(C2=NC3=NC(c4ccc(C#N)cc4)=C(c4ccc(C#N)cc4)C3=N2)cc1,"1,3,5-tris(4-cyanophenyl)triazine",other,False,0,False,0,0,1,llm,,,,False,False,False,review
Nc1ccc(C(=C(c2ccc(N)cc2)c2cccc(N)c2)c2ccc(N)cc2)cc1,"1,1,2,2-Tetrakis(4-aminophenyl)ethene",amine,False,0,False,0,4,3,llm,,,,False,True,True,
Nc1c(N)c(F)c(F)c(F)c1F,"2,3,5,6-tetrafluoro-1,4-phenylenediamine",amine,True,4,False,0,2,1,llm,,,,False,True,True,
Nc1ccc(C(F)(F)F)cc1,4-(trifluoromethyl)aniline,amine,True,3,True,0,1,2,llm,,,,False,True,False,fixed
OB(O)c1ccccc1B(O)O,benzenediboronic acid,other,False,0,False,0,0,1,llm,,,,False,False,False,review
Cc1c(-c2ccc(N)cc2)cc(-c2ccc(N)cc2)cc1-c1ccc(N)cc1,"1,3,5-tris(4-aminophenyl)mesitylene",amine,False,0,False,0,3,1,llm,,,,False,True,True,
O=Cc1ccc(C=O)c(F)c1,"2,5-difluoroterephthalaldehyde",aldehyde,True,1,False,2,0,1,llm,,,,True,False,True,
Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,"4,4'-diaminobenzanilide",amine,False,0,False,0,2,1,llm,,,,False,True,True,
O=Cc1cncc(-c2cncc(C=O)c2)c1,"2,2'-bipyridine-5,5'-dicarbaldehyde",aldehyde,False,0,False,2,0,1,llm,,,,True,False,True,
NC(=O)c1ccc(C(N)=O)cc1,terephthalamide dihydrochloride,amine,False,0,False,0,0,1,llm,,,,False,False,True,fixed
NC1=CC(=O)C(N)=C(N)C1=O,"1,2,4,5-tetraaminobenzoquinone",aldehyde-amine,False,0,False,0,3,1,llm,,,,False,True,True,review
O=C1C(=O)C(=O)C(=O)C(=O)C1=O,"cyclohexane-1,2,3,4,5,6-hexone",aldehyde,False,0,False,0,0,5,llm,,,,False,False,False,review
