csv_line,smiles,best_name,action,issues
51,Nc1ccc(Nc2ccc(-c3ccc(Nc4ccc(-c5ccc(Nc6ccc(-c7ccc8c(ccc9c%10ccccc%10ccc89)c7)cc6)cc5)cc4)cc3)cc2)cc1,"4,4',4'',4'''(Pyrene-1,3,6,8-tetrayl)tetaniline",fixed,"计数修正 n_aldehyde 0→0, n_amine 1→7; is_amine False→True"
53,N=C(N)NN,triaminoguanidinium chloride,fixed,"计数修正 n_aldehyde 0→0, n_amine 2→1"
55,Nc1ccc(-c2ccccc3ncnc2-3)cc1,"1,3,5-tris(4-aminophenyl)triazine",fixed,is_amine False→True
59,O=CC1=C(F)C(C(F)=C(F)F)=C(F)C1=O,"2,3,5,6-tetrafluoroterephthalaldehyde",fixed,is_aldehyde False→True
60,OB(O)c1ccc(B(O)O)cc1,"1,4-phenylenediboronic acid",review,type 存疑 other vs RDKit=none
61,CC1(C)OB(c2ccc(C=O)cc2)OC1(C)C,"4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)benzaldehyde",fixed,is_aldehyde False→True
62,CC1(C)OB(c2ccc(N)cc2)OC1(C)C,"4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)aniline",fixed,is_amine False→True
63,c1ccc2nonc2c1,"2,1,3-benzothiadiazole",review,type 存疑 other vs RDKit=none
66,COc1ccccc1N,o-dimethoxyaniline,fixed,is_amine False→True
68,Oc1ccc(O)c(O)c1,"1,3,5-trihydroxybenzene",review,type 存疑 other vs RDKit=none
72,OBc1ccc(C#CC#Cc2ccc(BO)cc2)cc1,"4,4'-diphenylbutadiynebis(boronic acid)",review,type 存疑 other vs RDKit=none
83,NNC(=O)OCCOCCO,PEO-hydrazide monomer (x=3),fixed,"计数修正 n_aldehyde 0→0, n_amine 1→0; type 存疑 amine vs RDKit=none"
84,OB1C=CC=C(B(O)O)C=C1,"1,4-benzenediboronic acid",review,type 存疑 other vs RDKit=none
87,N#CC(=Cc1ccccc1)c1ccccc1,"2,3-diphenylacrylonitrile",review,type 存疑 other vs RDKit=none
88,C(=Nc1ccccc1)c1ccccc1,"N,N'-p-phenylenedimethylene dibenzenamine",review,type 存疑 other vs RDKit=none
93,COc1ccc(C=O)cc1OC,"2,5-dimethoxyterephthaldehyde",fixed,is_aldehyde False→True
94,CCOc1ccc(C=O)cc1OCC,"2,5-diethoxyterephthaldehyde",fixed,is_aldehyde False→True
96,Brc1cccc2c1C1=C2c2c(Br)ccc1c2Br,"1,3,6,8-tetrabromopyrene",review,type 存疑 aldehyde vs RDKit=none
99,OB(O)c1ccccc1,"1,4-phenylenebis(boronic acid) (PBBA)",review,type 存疑 other vs RDKit=none
102,Nc1ccc(C#Cc2c3ccccc3cc3ccccc23)cc1,"9,10-bis(4-aminophenylethynyl)anthracene",fixed,is_amine False→True
103,N=C(N)NC(=N)N,biguanide,fixed,"计数修正 n_aldehyde 0→0, n_amine 2→4"
104,CN(C)NC(=N)NC(=N)N,metformin,fixed,"计数修正 n_aldehyde 0→0, n_amine 1→3; is_amine False→True"
105,N=C1N=C(Nc2ccccn2)N=C1c1cccc(N)n1,"5,5',5''-(1,3,5-triazine-2,4,6-triyl)tri(pyridin-2-amine)",fixed,"计数修正 n_aldehyde 0→0, n_amine 1→3; is_amine False→True"
109,Nc1ccc(B(O)O)cc1,4-aminophenylboronic acid,fixed,is_amine False→True; type 存疑 aldehyde-amine vs RDKit=amine
110,C#Cc1ccc(B(O)O)cc1,(4-ethynylphenyl)boronic acid,review,type 存疑 other vs RDKit=none
111,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,"1,3,5-benzenetricarboxylic acid",review,type 存疑 other vs RDKit=none
112,C1CNCCNC1,piperazine,fixed,"计数修正 n_aldehyde 0→0, n_amine 0→4; is_amine False→True"
113,Nc1ccc(S(=O)O)cc1,4-aminobenzenesulfonic acid,fixed,is_amine False→True
117,O=C(O)CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,diethylenetriaminepentaacetic acid,review,type 存疑 other vs RDKit=none
119,Oc1cccc(O)c1O,pyrogallol,review,type 存疑 other vs RDKit=none
120,Oc1ccccc1O,catechol,review,type 存疑 other vs RDKit=none
122,Oc1ccc2c(c1)cc(O)c1c3ccc(O)cc3ccc21,"2,3,6,7,10,11-hexahydroxytriphenylene",review,type 存疑 other vs RDKit=none
123,OB(O)c1ccc(-c2ccccc2)cc1,biphenyl-4-boronic acid,review,type 存疑 other vs RDKit=none
127,N#Cc1ccc(N)cc1,4-aminobenzyl cyanide,fixed,is_amine False→True
129,COc1cc(C(=O)NN)cc(C(=O)NN)c1,"2,5-dimethoxyterephthalohydrazide",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; type 存疑 other vs RDKit=none"
130,Nc1ccc(Nc2ccc(-c3ncnc(-c4ccc(Nc5ccc(N)cc5)cc4)c3-c3ccc(Nc4ccc(N)cc4)cc3)cc2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)tris(N-phenyl-[1,1'-biphenyl]-4-amine)",fixed,"计数修正 n_aldehyde 0→0, n_amine 3→9"
131,Cc1nc(C)nc(C)n1,"2,4,6-trimethyl-1,3,5-triazine",review,type 存疑 other vs RDKit=none
132,COc1ccc(Cc2cccc[n+]2C)c(Cc2ccccn2)c1,"1,1'-[(2,5-dimethoxy-1,4-phenylene)bis(methylene)]bis[pyridinium]",review,type 存疑 other vs RDKit=none
133,Bc1ccc(B(O)O)cc1,"1,4-phenylenediboronic acid",review,type 存疑 other vs RDKit=none
136,Cc1ccc(N)cc1C,"2,5-dimethyl-1,4-phenylenediamine",fixed,is_amine False→True
137,Oc1c(O)c(Cl)c(Cl)c(O)c1Cl,trichlorophloroglucinol,review,type 存疑 other vs RDKit=none
139,Nc1ccc(S(=O)(=O)O)cc1,4-aminobenzenesulfonic acid,fixed,is_amine False→True
140,Nc1ccc(Nc2ccc(-c3ccc(N)cc3)cc2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)trianiline",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→4"
142,Nc1ccc(F)nc1F,"2,6-difluoro-1,4-pyridinediamine",fixed,is_amine False→True
145,Nc1ccc(N)c(S(=O)(=O)O)c1,"2,5-diaminobenzenesulfonic acid",fixed,is_amine False→True; type 存疑 other vs RDKit=amine
148,NN.O,hydrazine hydrate,fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
154,N#Cc1ccc(C2=NC3=NC(c4ccc(C#N)cc4)=C(c4ccc(C#N)cc4)C3=N2)cc1,"1,3,5-tris(4-cyanophenyl)triazine",review,type 存疑 other vs RDKit=none
157,Nc1ccc(C(F)(F)F)cc1,4-(trifluoromethyl)aniline,fixed,is_amine False→True
158,OB(O)c1ccccc1B(O)O,benzenediboronic acid,review,type 存疑 other vs RDKit=none
163,NC(=O)c1ccc(C(N)=O)cc1,terephthalamide dihydrochloride,fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
164,NC1=CC(=O)C(N)=C(N)C1=O,"1,2,4,5-tetraaminobenzoquinone",review,type 存疑 aldehyde-amine vs RDKit=amine
165,O=C1C(=O)C(=O)C(=O)C(=O)C1=O,"cyclohexane-1,2,3,4,5,6-hexone",review,type 存疑 aldehyde vs RDKit=none
168,COc1ccc(N)cc1OC,"2,5-dimethoxybenzene-1,4-diamine",fixed,is_amine False→True
171,O=C(Cl)c1cc(C(=O)Cl)cc(C(=O)Cl)c1,"1,3,5-benzenetricarbonyl chloride",review,type 存疑 other vs RDKit=none
176,N#Cc1ccc(-c2ccc(C#N)cc2)cc1,"4,4'-dicyanobiphenyl",review,type 存疑 other vs RDKit=none
177,N#Cc1cccc(C#N)c1,"2,6-dicyanopyridine",review,type 存疑 other vs RDKit=none
178,N#Cc1ccc(-c2cc(-c3ccc(C#N)cc3)cc(-c3ccc(C#N)cc3)c2)cc1,"1,3,5-tris(4-cyanophenyl)benzene",review,type 存疑 other vs RDKit=none
179,O=C=Nc1cccc2ccccc12,(S)- or (R)-naphthyl isocyanate,review,type 存疑 other vs RDKit=none
180,O=C(O)c1cccc2c(=O)oc(=O)c(=O)oc(=O)c12,pyromellitic dianhydride,review,type 存疑 other vs RDKit=none
181,c1ccc(N(c2ccccc2)c2ccccc2)cc1,triphenylamine,review,type 存疑 amine vs RDKit=none
182,Clc1ncnc(Cl)n1,"2,4,6-trichloro-1,3,5-triazine",review,type 存疑 other vs RDKit=none
188,NCC(O)(CO)CO,tris(hydroxymethyl)aminomethane,fixed,is_amine False→True
189,Nc1ccc(Nc2ccc(-c3ccc(N)cc3)c(-c3ccccc3)c2)cc1,"5'-(4-aminophenyl)-[1,1':3',1''-terphenyl]-4,4''-diamine",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→4"
191,C#Cc1ccc(C#Cc2ccc(C(=O)c3ccc(C#Cc4ccc(C(=O)c5ccc(C#C)cc5)cc4)cc3)cc2)cc1,"1,3,5-tris(4-ethynylphenyl)benzene-1',3''-trione",review,type 存疑 other vs RDKit=none
193,O=C1COC(=O)CO1,diglycolic anhydride,review,type 存疑 other vs RDKit=none
194,COCC(=O)C(C)(CO)COC,"1,1,3-trimethoxypropane",review,type 存疑 aldehyde vs RDKit=none
195,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,"N1,N1'-(1,4-phenylene)bis(N1-(4-aminophenyl)phenyl-1,4-diamine)",fixed,"计数修正 n_aldehyde 0→0, n_amine 0→4; is_amine False→True"
196,C=Cc1ccc(C=O)cc1C=C,"2,5-divinylterephthalaldehyde",fixed,is_aldehyde False→True
197,COc1cc(-c2cc(C(=O)NN)cc(-c3cccc(C(=O)NN)c3)c2)ccc1C(=O)NN,"1,3,5-tris(3'-methoxy-4'-hydrazinecarbonylphenyl)benzene",fixed,"计数修正 n_aldehyde 0→0, n_amine 3→0; is_amine True→False; type 存疑 aldehyde-amine vs RDKit=none"
198,Nc1cccc(Nc2ccc(-c3nc(-c4ccc(Nc5ccccc5)cc4)nc(-c4ccc(Nc5ccccc5)cc4)n3)cc2)c1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)trianiline",fixed,"计数修正 n_aldehyde 0→0, n_amine 1→7; is_amine False→True"
199,O=C1C=CC(=O)C2=C1Cc1ccccc12,ace-naphthenequinone,review,type 存疑 other vs RDKit=none
200,Clc1nc(Cl)nc(Cl)n1,"2,4,6-trichloro-1,3,5-triazine",review,type 存疑 other vs RDKit=none
201,Nc1ccc(C2=NC(Nc3ccccc3)=C3C=CC(=N3)C(c3ccc(N)cc3)=C2c2ccc(N)cc2)cc1,"5,10,15,20-tetrakis(4-aminophenyl)-21H,23H-porphine",fixed,"计数修正 n_aldehyde 0→0, n_amine 3→5"
203,CNCCCN,N-propylethylenediamine,fixed,"计数修正 n_aldehyde 0→0, n_amine 1→3; is_amine False→True"
204,OB(O)c1ccc(C(c2ccc(B(O)O)cc2)(c2ccc(B(O)O)cc2)c2ccc(B(O)O)cc2)cc1,tetrakis(4-boronic acid phenyl)methane,review,type 存疑 other vs RDKit=none
205,OB(O)c1ccc([Si](c2ccc(B(O)O)cc2)(c2ccc(B(O)O)cc2)c2ccc(B(O)O)cc2)cc1,tetrakis(4-boronic acid phenyl)silane,review,type 存疑 other vs RDKit=none
207,CC(C)Nc1nc(N)nc(N)n1,"2,4-diamino-6-isopropyl-s-triazine",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→4"
208,CC(C)Nc1nc(N)nc(F)n1,4-isopropyl-2-amino-6-fluoro-s-triazine,fixed,"计数修正 n_aldehyde 0→0, n_amine 1→3; is_amine False→True"
209,NC1CCCC1[N]([Ni][c]1ccc(C=O)cc1O)c1ccc(C=O)cc1O,"(1R,2R)-N,N'-bis(3-formyl-4-hydroxybenzylidene)-1,2-diaminocyclohexane nickel(II)",fixed,is_amine False→True; type 存疑 aldehyde-amine vs RDKit=both
210,CC(C)(C)OC(=O)Nc1ccc(O)c(C=O)c1,tert-butyl (3-formyl-4-hydroxyphenyl)carbamate,fixed,is_aldehyde False→True
212,O=Cc1ccccc1,benzaldehyde,fixed,is_aldehyde False→True
213,C1=CCC(C(c2ccccc2)N(c2ccccc2)c2ccccc2)=C1,triphenylamine,review,type 存疑 amine vs RDKit=none
214,Nc1ccccc1,aniline,fixed,is_amine False→True
215,NNC(=O)N(N)C=O,oxalic dihydrazide,fixed,"计数修正 n_aldehyde 0→1, n_amine 2→0; is_aldehyde False→True; type 存疑 other vs RDKit=aldehyde"
216,Oc1ccc2c3ccc4c5ccc6c7c(O)c8c7c6c6c8c1c2c3c4c56,"2,3,10,11,18,19-hexahydroxy-hexabenzocoronene",review,type 存疑 other vs RDKit=none
218,OB(O)c1ccc2sc(-c3ccc(O)cc3)nc2c1,"1,4-benzothiadiazole-2,5-diboronic acid",review,type 存疑 other vs RDKit=none
219,O=C(c1ccccc1)c1ccccc1,benzophenone,review,type 存疑 other vs RDKit=none
225,O=Cc1cc(F)ccc1F,"2,4-difluorobenzaldehyde",fixed,is_aldehyde False→True
226,O=Cc1cc(F)c(F)c(F)c1F,"2,3,4,5-tetrafluorobenzaldehyde",fixed,is_aldehyde False→True
227,OC1=C2C(=C(O)c3c(O)cccc32)c2cc(O)ccc21,"2,3,6,7,10,11-hexahydroxytriphenylene",review,type 存疑 other vs RDKit=none
228,CC1(C)CB(OB2CC(C)(C)O2)O1,bis(pinacolato)diboron,review,type 存疑 other vs RDKit=none
229,N#Cc1ccc(C#N)c(C#N)c1,"1,2,4,5-tetracyanobenzene",review,type 存疑 other vs RDKit=none
231,O=C(O)c1ccc(-c2nc(-c3ccc(C(=O)O)cc3)nc(-c3ccc(C(=O)O)cc3)n2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)tribenzoic acid",review,type 存疑 other vs RDKit=none
233,O=C1OC(=O)c2ccc(cc2)C(=O)O1,pyromellitic dianhydride,review,type 存疑 other vs RDKit=none
236,O=Cc1ccccc1[N+](=O)[O-],2-nitrobenzaldehyde,fixed,is_aldehyde False→True
237,Nc1ccccc1C=O,2-aminobenzaldehyde,fixed,is_aldehyde False→True; is_amine False→True; type 存疑 aldehyde-amine vs RDKit=both
238,O=Cc1ccccc1C(=O)O,2-formylbenzoic acid,fixed,is_aldehyde False→True
239,O=Cc1ccc(C(=O)O)cc1,4-carboxybenzaldehyde,fixed,is_aldehyde False→True
240,O=Cc1ccc([N+](=O)[O-])cc1,4-nitrobenzaldehyde,fixed,is_aldehyde False→True
242,Nc1ccccc1S,2-aminobenzenethiol,fixed,is_amine False→True
248,CC[N+]1=C(c2c3cccc2[N+](CC)=C(c2ccccc2)c2ccccc2-3)CC(C(=N)N)=C1,Ethidium bromide,fixed,is_amine False→True; type 存疑 other vs RDKit=amine
250,N#CCc1ccc(C#N)cc1,"2,2'-(1,4-phenylene)diacetonitrile",review,type 存疑 other vs RDKit=none
251,N#CCc1ccc(-c2ccc(C#N)cc2)cc1,"2,2'-(biphenyl-4,4'-diyl)diacetonitrile",review,type 存疑 other vs RDKit=none
252,COc1cc(N)c(N)cc1OC,"2,5-dimethoxy-1,4-phenylenediamine",fixed,is_amine False→True; type 存疑 other vs RDKit=amine
256,Cl.N=C(N)NN,aminoguanidine hydrochloride,fixed,"计数修正 n_aldehyde 0→0, n_amine 2→1"
258,OCc1c(F)c(F)c(CO)c(F)c1F,"2,3,5,6-tetrafluoro-1,4-benzenedimethanol",review,type 存疑 other vs RDKit=none
262,Nc1ccc(-c2ncnc(-c3ccc(N)cc3)n2)cc1,"4,4′,4″-(1,3,5-triazine-2,4,6-triyl)trianiline",fixed,is_amine False→True; type 存疑 other vs RDKit=amine
264,Nc1ccc(S(=O)(=O)O)nc1,"2,5-diaminobenzene-1,4-disulfonic acid",fixed,is_amine False→True
265,O=Cc1ccc2c(c1)C=CC(=O)C2=O,"2,5-divinylterephthalaldehyde",fixed,is_aldehyde False→True
267,N#CC1=C2C(c3ccccc3)=NSC(c3ccccc3)=C2SN=C1c1ccccc1,"2,6-dicyano-1,3,5,7-tetraphenylbenzo[1,2-d:4,5-d']bis(thiazole)",review,type 存疑 other vs RDKit=none
268,O=Cc1cc(F)c(F)c(=O)c(F)c1F,"2,3,5,6-tetrafluoro-1,4-benzenedicarboxaldehyde",fixed,is_aldehyde False→True
271,O=c1oc(=O)c2ccccc2o1,pyromellitic anhydride,review,type 存疑 other vs RDKit=none
272,Nc1ccc2nsnc2c1,"4,7-diamino-2,1,3-benzothiadiazole (BT-H)",fixed,is_amine False→True; type 存疑 aldehyde-amine vs RDKit=amine
273,Nc1c(F)ccc2nsnc12,"4,7-diamino-5-fluoro-2,1,3-benzothiadiazole (BT-F)",fixed,is_amine False→True; type 存疑 aldehyde-amine vs RDKit=amine
274,Nc1c(Cl)ccc2nsnc12,"4,7-diamino-5-chloro-2,1,3-benzothiadiazole (BT-Cl)",fixed,is_amine False→True; type 存疑 aldehyde-amine vs RDKit=amine
275,Cc1ccc(OCC#Cc2c(O)cccc2C=O)cc1,3-(3-(p-tolyl)prop-2-ynoxy)-2-hydroxybenzaldehyde,fixed,is_aldehyde False→True
276,O=Cc1c(O)cccc1OCC#Cc1ccccc1,3-(3-phenylprop-2-ynoxy)-2-hydroxybenzaldehyde,fixed,is_aldehyde False→True
277,c1ccc(C2CO2)cc1,styrene oxide,review,type 存疑 other vs RDKit=none
279,O=Cc1ccc2ccccc2c1,naphthalene-based monomer,fixed,is_aldehyde False→True
280,Nc1ccc([N+](=O)[O-])cc1,PaNO₂,fixed,is_amine False→True
281,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,BD(NO₂)₂,review,type 存疑 amine vs RDKit=none
282,N#Cc1ccc(N=Nc2ccc(N)cc2)cc1,Azo,fixed,is_amine False→True; type 存疑 other vs RDKit=amine
285,O=CC1=C(C(=O)C2C=CS2)S1,"5,5'-bithiene-2,2'-dicarbaldehyde",fixed,is_aldehyde False→True
288,[N-]=[N+]=NCCOCCOCC=O,2-(2-azidoethoxy)ethoxyacetaldehyde,fixed,is_aldehyde False→True
290,Nc1ccc(Nc2nc(Nc3ccc(N)cc3)nc(-c3ccc(N)cc3)n2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)trianiline",fixed,"计数修正 n_aldehyde 0→0, n_amine 3→7"
291,CCOc1cc(NC(=O)C(=O)NN)ccc1OC(=O)C(=O)NN,"2,5-diethoxyterephthalohydrazide",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; type 存疑 other vs RDKit=none"
292,Ic1ccc(-c2ccc(-c3ccc(I)cc3)c(-c3ccc(I)cc3)c2)cc1,"1,3,5-tris(4-iodophenyl)benzene",review,type 存疑 other vs RDKit=none
295,Cc1nc(C)c(C)c(C)n1,"2,4,6-三甲基-1,3,5-三嗪 (TMT)",review,type 存疑 other vs RDKit=none
296,C=O,formaldehyde (from paraformaldehyde),review,type 存疑 aldehyde vs RDKit=none
297,Nc1ccnc(-c2c(-c3ccncc3)ccnc2-c2cccnc2)c1,"1,3,5-tris(4-aminopyridyl)pyridine",fixed,is_amine False→True
299,O=Cc1cccc(-c2ccccc2)c1,"1,3,5-benzenetricarboxaldehyde",fixed,is_aldehyde False→True
300,NC(=S)Nc1ccc(C(N)=S)cc1,"1,4-phenylenebis(thiourea)",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→4"
301,c1ccc(Nc2nc(Nc3ccccn3)nc(Nc3ccccn3)n2)nc1,"2,4,6-tris(pyridin-2-amino)-1,3,5-triazine",fixed,"计数修正 n_aldehyde 0→0, n_amine 0→6; is_amine False→True"
302,c1ccc(Nc2cc(Nc3ccccn3)cc(Nc3ccccn3)c2)nc1,"1,3,5-tris(pyridin-2-amino)benzene",fixed,"计数修正 n_aldehyde 0→0, n_amine 0→6; is_amine False→True"
303,Nc1ccc(F)cc1,4-fluoroaniline,fixed,is_amine False→True
304,Nc1ccc(O)cc1,4-aminophenol,fixed,is_amine False→True
305,O=Cc1ccc(B(O)O)cc1,4-(dihydroxyboryl)benzaldehyde,fixed,is_aldehyde False→True
307,O=Cc1ccc2ccc3cccc4ccc1c2c34,pyrene-1-carbaldehyde,fixed,is_aldehyde False→True
309,O=C(O)c1ccc2nc(C(=O)O)sc2c1,"1,4-benzothiazole-2,5-dicarboxylic acid",review,type 存疑 other vs RDKit=none
310,NNc1ncnc(NN)n1,"2,4,6-trihydrazinyl-1,3,5-triazine",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
315,O=Cc1ccc(O)c(O)c1,protocatechuic aldehyde,fixed,is_aldehyde False→True
316,Oc1cccc(O)c1,"1,3-benzenediol",review,type 存疑 other vs RDKit=none
318,Nc1ccc(C(=O)O)cc1,4-aminobenzoic acid,fixed,is_amine False→True
319,NN=C(N)N,triaminoguanidine,fixed,"计数修正 n_aldehyde 0→0, n_amine 3→2"
322,CC(C)(C)OC(=O)Nc1ccc(N)cc1,4-(tert-butoxycarbonylamino)-aniline,fixed,is_amine False→True
325,Brc1ccc(Br)cc1,"1,4-dibromobenzene",review,type 存疑 other vs RDKit=none
326,NNC(=O)c1ccc(C(=O)NN)cc1,terephthalohydrazide,fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
327,N#Cc1cc(C#N)cc(C#N)c1,"1,3,5-tricyanobenzene",review,type 存疑 other vs RDKit=none
328,Nc1c(F)c(F)c(F)c(F)c1F,pentafluoroaniline,fixed,is_amine False→True
332,c1cncc(-c2cc3cc(-c4ccncc4)cc(-c4ccncc4)c3cc2-c2ccncc2)c1,"1,3,6,8-tetra(4-pyridyl)pyrene",review,type 存疑 other vs RDKit=none
337,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,对三联苯,review,type 存疑 other vs RDKit=none
338,O=C1CCC(=O)O1,琥珀酸酐,review,type 存疑 other vs RDKit=none
339,CC(=O)CC(=O)C(F)(F)F,trifluoroacetylacetone,review,type 存疑 other vs RDKit=none
340,N#CC(C#N)=C(C#N)C#N,tetracyanoethylene,review,type 存疑 other vs RDKit=none
342,C#Cc1ccc(F)cc1,1-ethynyl-4-fluorobenzene,review,type 存疑 other vs RDKit=none
343,C#Cc1cc(F)cc(F)c1,"1-ethynyl-3,5-difluorobenzene",review,type 存疑 other vs RDKit=none
348,CC=O,acetaldehyde,fixed,is_aldehyde False→True
349,N#CCc1ccc(CC#N)cc1,"2,2′-(1,4-phenylene)diacetonitrile",review,type 存疑 other vs RDKit=none
352,O=Cc1ccccc1B(O)O,2-formylphenylboronic acid,fixed,is_aldehyde False→True
353,O=C1C=CC(=O)C=C1,benzoquinone,review,type 存疑 other vs RDKit=none
359,CCOc1cc(C(=O)NN)cc(OCC)c1C(=O)NN,"2,5-diethoxyterephthalohydrazide",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
360,CC1(C)C2CCC1(C(=O)O)C(C(=O)O)C2,camphoric acid,review,type 存疑 other vs RDKit=none
361,O=C(O)[C@@H](O)[C@@H](O)C(=O)O,tartaric acid,review,type 存疑 other vs RDKit=none
362,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,"1,1'-bi-2-naphthol",review,type 存疑 other vs RDKit=none
363,O=Cc1ccccc1/N=C/C/N=C/c1ccccc1O,"N,N'-bis(salicylidene)ethylenediamine",fixed,is_aldehyde False→True; type 存疑 other vs RDKit=aldehyde
365,O=[N+]([O-])c1ccc([N+](=O)[O-])c(-[n+]2ccc(-c3ccc(-c4cccc(-c5cc[n+](-c6cc([N+](=O)[O-])ccc6[N+](=O)[O-])cc5)c4)cc3)cc2)c1.[Cl-].[Cl-],"4,4'-(1,4-phenylene)bis(1-(2,4-dinitrophenyl)pyridinium) dichloride",review,type 存疑 other vs RDKit=none
